x/c,r/R=0.50,x/c,r/R=0.68,x/c,r/R=0.80,x/c,r/R=0.89,x/c,r/R=0.96
0.00,-0.5520E+00,0.02,-0.7490E+00,0.00,-0.1287E+01,0.01,-0.9307E+00,0.00,-0.9773E+00
0.03,-0.8308E+00,0.04,-0.8430E+00,0.01,-0.8637E+00,0.03,-0.1250E+01,0.02,-0.1522E+01
0.12,-0.6180E+00,0.10,-0.7637E+00,0.05,-0.1134E+00,0.09,-0.9774E+00,0.07,-0.9735E+00
0.20,-0.3490E+00,0.19,-0.4980E+00,0.09,-0.8977E+00,0.19,-0.5507E+00,0.12,-0.7484E+00
0.47,-0.1395E+00,0.29,-0.3070E+00,0.17,-0.7641E+00,0.45,-0.2330E+00,0.25,-0.4484E+00
0.85,-0.7717E-01,0.29,-0.5012E+00,0.37,-0.7313E+00,0.47,-0.7384E+00,0.73,-0.9415E-01
,,0.44,-0.2924E+00,0.45,-0.4283E+00,0.47,-0.5344E+00,0.75,-0.4483E-01
,,0.44,-0.2010E+00,0.45,-0.4128E+00,0.45,-0.1880E+00,,
,,0.44,-0.3070E+00,0.65,-0.2004E+00,0.65,-0.1920E+00,,
,,0.44,-0.2029E+00,0.65,-0.3914E+00,0.75,-0.5170E+00,,
,,0.45,-0.3070E+00,0.65,-0.1080E+00,0.45,-0.1688E+00,,
,,0.73,-0.1280E+00,0.65,-0.4478E+00,0.87,-0.2338E-01,,
,,,,0.90,-0.4010E-01,0.87,-0.2338E-01,,
