x/c,r/R=0.50,x/c,r/R=0.68,x/c,r/R=0.80,x/c,r/R=0.89,x/c,r/R=0.96
0.04,0.3437E+00,0.00,-0.9690E+00,0.01,-0.8101E+00,0.01,-0.9252E+00,1.00,-0.1109E+01
0.20,0.5050E-01,0.07,-0.4553E+00,0.02,-0.4547E+00,0.04,-0.5570E+00,1.00,-0.2649E+00
0.45,0.3655E-01,0.18,0.6403E-01,0.11,-0.9280E-01,0.14,-0.7975E-01,0.16,0.4905E-01
0.69,0.5497E-01,0.28,0.1379E+00,0.14,0.3764E-02?,0.28,0.6722E-01,0.24,0.1124E+00
0.85,0.1549E-01,0.38,0.1342E+00,0.00,0.1055E+00,0.45,0.8540E-01,0.39,0.1180E+00
,,0.51,0.1289E+00,0.34,0.1383E+00,0.57,0.5510E-01,0.51,0.9409E-01
,,0.57,0.1005E+00,0.57,0.1227E+00,0.69,,0.63,0.8002E-01
,,0.79,-0.4117E-02,0.74,0.7791E-01,0.79,-0.9446E+00?,0.74,0.5186E-01
,,,,0.90,-0.1003E-01,0.90,,0.85,0.2090E-01
,,,,0.50?,,,,,
