x/c,r/R=0.50,x/c,r/R=0.68,x/c,r/R=0.80,x/c,r/R=0.89,x/c,r/R=0.96
0.26,,0.40?,,0.01,-0.8113E+00,,-0.9395E+00,0.00,0.1171E+01?
0.40?,,0.07,-0.4405E+00?,0.02,-0.6402E+00,0.04?,,0.00?,-0.1171E+01
0.40,,0.18,,,,0.00?,-0.5297E+00,0.07,-0.2415E+00
0.27?,,0.18,0.4963E-01,0.11?,-0.1057E+00,0.14,-0.7716E-01?,0.16?,
0.49,0.2650E-01?,0.28,,0.00?,,0.14,-0.7712E-01,0.16,0.6405E-01?
0.85,-0.3550E-02?,0.03?,0.1054E+00,0.14?,0.6922E-02?,0.20,0.6973E-01,0.24,0.1231E+00
0.00?,,0.38,0.1036E+00,0.24,0.1000E+00,0.45,,0.39,
,,0.51,,0.34,,,0.8842E-01,0.39?,0.1269E+00
,,0.50?,0.7940E-01?,,0.1420E+00,0.57,0.6179E-01?,0.51,0.1043E+00?
,,0.57,0.7430E+00?,,,0.57,0.6172E-01,0.51,0.1043E+00
,,0.86?,0.7234E-01?,0.57,0.1090E+00,0.69,0.2701E-01?,0.43,0.7300E-01?
,,0.79?,-0.2732E-01,0.74,0.5496E-01,0.79,,0.74,0.0000E+00?
,,,,,,0.79,-0.1971E-01,0.74,0.3417E-01
,,,,0.70,,0.90,-0.7578E-01,0.85,0.5351E-02?
