V/OmegaR,theta0.75R,DeltaCQ,lambda2,lambda1(T),lambda1(Q),QC
0,5.32,0.000087,0,0.97,1.09,
.0048,5.00,.000087,.15,1.01,1.05,
.0161,5.21,.000077,.50,1.43,1.67,
.0298,4.91,.000075,.92,1.75,1.91,
.0376,5.22,.000080,1.15,2.01,2.12,
.0442,5.22,.000086,1.36,2.30,2.39,
.0484,5.22,.000087,1.49,2.42,2.49,
.0552,1.90,.000007,1.70,1.47,1.65,
.0592,1.39,-.000002,1.82,1.42,1.64,
.0641,.42,-.000025,1.97,1.22,1.39,
.0676,-.28,-.000042,2.08,1.09,1.24,
.0721,-.84,-.000092,2.21,1.03,.90,
.0771,-1.46,-.000069,2.37,.97,1.10,F: DeltaCQ less negative than row above despite deeper descent
