V/OmegaR,theta0.75R,DeltaCQ,lambda2,lambda1(T),lambda1(Q)
0,8.68,0.000271,0,1.08,-
.0098,8.64,.000270,.22,1.29,-
.0162,8.50,.000261,.37,1.40,-
.0215,8.50,.000261,.49,1.52,-
.0295,8.45,.000248,.67,1.69,1.61
.0411,8.30,.000234,.94,1.92,1.98
.0485,8.30,.000229,1.10,2.09,2.22
.0513,8.30,.000229,1.17,2.15,2.28
.0566,8.30,.000239,1.29,2.27,2.22
.0624,8.30,.000243,1.42,2.41,-
.0684,7.22,.000175,1.56,2.26,2.50
.0739,4.36,.000048,1.69,1.64,1.72
.0795,3.67,.000020,1.81,1.59,1.69
.0835,3.29,.000001,1.91,1.58,1.67
.0881,2.46,-.000045,2.01,1.47,1.50
