mu,CH,rpm_series
0.13,0.00020,98.6
0.17,0.00024,98.6
0.205,0.00027,98.6
0.25,0.00030,98.6
0.27,0.00037,98.6
0.31,0.00039,98.6
0.345,0.00041,98.6
0.38,0.00049,98.6
0.41,0.00065,98.6
0.44,0.00057,98.6
0.46,0.00062,98.6
0.49,0.00066,98.6
0.53,0.00072,98.6
0.59,0.00078,98.6
0.635,0.00086,98.6
0.70,0.00097,98.6
0.14,0.00020,118.7
0.18,0.00021,118.7
0.22,0.00030,118.7
0.245,0.00040,118.7
0.285,0.00043,118.7
0.34,0.00047,118.7
0.375,0.00055,118.7
0.42,0.00062,118.7
0.50,0.00066,118.7
0.595,0.00077,118.7
0.605,0.00085,118.7
0.135,0.00007,137.6
0.205,0.00016,137.6
0.21,0.00028,137.6
0.24,0.00036,137.6
0.275,0.00042,137.6
0.30,0.00046,137.6
0.335,0.00050,137.6
0.37,0.00053,137.6
0.41,0.00060,137.6
0.45,0.00062,137.6
0.49,0.00070,137.6
0.52,0.00075,137.6
0.14,0.00018,147.9
0.175,0.00009,147.9
0.225,0.00031,147.9
0.28,0.00046,147.9
0.32,0.00054,147.9
0.35,0.00060,147.9
0.415,0.00060,147.9
0.135,0.00019,transition
0.72,0.00107,transition
