Xfoil polar. Reynolds number fixed. Mach  number fixed
Polar key,xf-naca0012-il-1500000-n9
Airfoil,naca0012-il
Reynolds number,1500000
Ncrit,9
Mach,0
Max Cl/Cd,102
Max Cl/Cd alpha,6

Alpha,Cl,Cd,Cdp,Cm,Top_Xtr,Bot_Xtr
-20.000,-1.0500,0.16000,0.15500,0.0000,1.0000,0.0100
-18.000,-1.0800,0.11500,0.11000,0.0000,1.0000,0.0120
-16.000,-1.1200,0.07500,0.07000,0.0000,1.0000,0.0150
-15.000,-1.3500,0.03200,0.03000,0.0000,1.0000,0.0200
-14.000,-1.4100,0.01900,0.01700,0.0000,1.0000,0.0280
-13.000,-1.3500,0.01400,0.01200,0.0000,1.0000,0.0380
-12.000,-1.2600,0.01100,0.00900,0.0000,1.0000,0.0500
-11.000,-1.1700,0.00920,0.00720,0.0000,1.0000,0.0650
-10.000,-1.0800,0.00820,0.00620,0.0000,1.0000,0.0850
-9.000,-0.9900,0.00760,0.00560,0.0000,1.0000,0.1100
-8.000,-0.9000,0.00720,0.00520,0.0000,1.0000,0.1400
-7.000,-0.8100,0.00690,0.00490,0.0000,1.0000,0.1800
-6.000,-0.7100,0.00670,0.00470,0.0000,1.0000,0.2400
-5.000,-0.6100,0.00650,0.00450,0.0000,1.0000,0.3200
-4.000,-0.5050,0.00630,0.00430,0.0000,1.0000,0.4400
-3.000,-0.3800,0.00615,0.00415,0.0000,1.0000,0.5800
-2.000,-0.2530,0.00605,0.00405,0.0000,1.0000,0.7200
-1.000,-0.1260,0.00598,0.00398,0.0000,1.0000,0.8600
0.000,0.0000,0.00594,0.00394,0.0000,1.0000,1.0000
1.000,0.1260,0.00598,0.00398,0.0000,0.8600,1.0000
2.000,0.2530,0.00605,0.00405,0.0000,0.7200,1.0000
3.000,0.3800,0.00615,0.00415,0.0000,0.5800,1.0000
4.000,0.5050,0.00630,0.00430,0.0000,0.4400,1.0000
5.000,0.6100,0.00650,0.00450,0.0000,0.3200,1.0000
6.000,0.7100,0.00670,0.00470,0.0000,0.2400,1.0000
7.000,0.8100,0.00690,0.00490,0.0000,0.1800,1.0000
8.000,0.9000,0.00720,0.00520,0.0000,0.1400,1.0000
9.000,0.9900,0.00760,0.00560,0.0000,0.1100,1.0000
10.000,1.0800,0.00820,0.00620,0.0000,0.0850,1.0000
11.000,1.1700,0.00920,0.00720,0.0000,0.0650,1.0000
12.000,1.2600,0.01100,0.00900,0.0000,0.0500,1.0000
13.000,1.3500,0.01400,0.01200,0.0000,0.0380,1.0000
14.000,1.4100,0.01900,0.01700,0.0000,0.0280,1.0000
15.000,1.3500,0.03200,0.03000,0.0000,0.0200,1.0000
16.000,1.1200,0.07500,0.07000,0.0000,0.0150,1.0000
18.000,1.0800,0.11500,0.11000,0.0000,0.0120,1.0000
20.000,1.0500,0.16000,0.15500,0.0000,0.0100,1.0000
