U_wind_ms,Omega_rpm,pitch_deg,T_openfast_N,T_oye_N,Q_openfast_Nm,Q_oye_Nm,P_openfast_W,P_oye_W
5.0,72.0,3.0,632.8682918493149,757.4900679023623,283.11861712328766,346.15276198791076,2134.664111369863,2609.930337794488
6.0,72.0,3.0,895.371568630137,1057.7134264160854,507.4178731917808,622.3242108191918,3825.8407873972596,4692.214005265532
7.0,72.0,3.0,1120.7281615068491,1295.3013205086895,762.8742788630136,927.5004549363564,5751.936607671233,6993.188677030195
8.0,72.0,3.0,1283.3239999999998,1457.4413039953577,1015.2411302739725,1216.372531021825,7654.738119041096,9171.232817967812
9.0,72.0,3.0,1426.3837683561646,1594.1629651435012,1276.0500680821917,1505.8297835695596,9621.19142328767,11353.689085485208
10.0,72.0,3.0,1555.1925102739729,1719.3217578851659,1541.794684931507,1796.2657478928993,11624.858441095888,13543.524665940738
11.0,72.0,3.0,1670.3058901369861,1829.1354841135526,1803.4702335616437,2094.127971495689,13597.845878082193,15789.352922226606
12.0,72.0,3.0,1768.876681780822,1923.3520666161453,2072.3381698630137,2394.71514376589,15625.061823287673,18055.72680742835
13.0,72.0,3.0,1853.8959153424657,2002.2047016820768,2347.296042739726,2695.8299727267504,17698.19646438356,20326.079130349277
14.0,72.0,3.0,1928.2723730136988,2068.9637151178604,2627.6714228767123,2998.935253863914,19812.176060273974,22611.439109112755
15.0,72.0,3.0,1994.1086813698628,2126.3204311093277,2915.8843028767124,3309.068477079855,21985.250189041097,24949.78852276713
16.0,72.0,3.0,2055.686112328767,2179.452732160623,3221.0522664383566,3638.277621099245,24286.162236986307,27431.96699079729
17.0,72.0,3.0,2112.6963231506847,2229.752535914531,3540.4706668493145,3993.034812052669,26694.521228767124,30106.77319457512
18.0,72.0,3.0,2169.001453424657,2281.0002534776036,3874.049675205479,4367.511720116625,29209.647399999998,32930.262562525706
19.0,72.0,3.0,2225.9586084931507,2334.0017591096284,4231.991726849315,4755.152771060315,31908.467013698628,35853.00722942456
20.0,72.0,3.0,2293.1381834246577,2388.6889038786144,4614.238092054793,5156.470787497723,34790.53759452055,38878.873786687735
21.0,72.0,3.0,2373.219505479452,2444.996503354967,5030.204690684931,5571.9142283318115,37926.85240136986,42011.243534783185
22.0,72.0,3.0,2464.719739863014,2502.8625204851346,5489.021996849316,6001.878673493604,41386.25133561644,45253.09907612342
23.0,72.0,3.0,2563.474340958904,2562.22812379048,5999.53755958904,6446.715432030042,45235.44887945206,48607.08921851887
24.0,72.0,3.0,2634.856446575342,2623.0376661576984,6519.570397671234,6906.7381867684835,49156.40300410959,52075.5790747679
25.0,72.0,3.0,2707.575426849315,2685.238612971393,7065.693494246573,7382.22825407906,53274.07526849316,55660.68972033067
