case,U_wind_ms,Omega_rpm,pitch_deg,Azimuth,BldPitch1,BldPitch2,Case,HWindSpeedX,HWindSpeedY,HWindSpeedZ,PtfmHeave,PtfmPitch,PtfmRoll,PtfmSurge,PtfmSway,PtfmYaw,RotSpeed,RtAeroCp,RtAeroCq,RtAeroCt,RtAeroFxh,RtAeroMxh,RtAeroPwr,RtSpeed,RtTSR,RtVAvgxh,ShearExp,Yaw
0,5.0,72.0,3.0,179.93115891616438,3.0,3.0,1.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,72.0,0.35499606116438354,0.04708281474246575,0.5262320696575343,632.8682918493149,283.11861712328766,2134.664111369863,72.0,7.539822579999999,5.0,0.0,0.0
1,6.0,72.0,3.0,179.93115891616438,3.0,3.0,1.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,72.0,0.36819436736986305,0.058599948391780836,0.517016947,895.371568630137,507.4178731917808,3825.8407873972596,72.0,6.28318548,6.0,0.0,0.0
2,7.0,72.0,3.0,179.93115891616438,3.0,3.0,1.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,72.0,0.3485972633835616,0.06472781310684929,0.47545368065753424,1120.7281615068491,762.8742788630136,5751.936607671233,72.0,5.385587219999999,7.0,0.0,0.0
3,8.0,72.0,3.0,179.93115891616438,3.0,3.0,1.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,72.0,0.3107881007534246,0.0659512818150685,0.4168313199726028,1283.3239999999998,1015.2411302739725,7654.738119041096,72.0,4.71238899,8.0,0.0,0.0
4,9.0,72.0,3.0,179.93115891616438,3.0,3.0,1.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,72.0,0.27435022641095885,0.06549628830273972,0.36606260582191774,1426.3837683561646,1276.0500680821917,9621.19142328767,72.0,4.18879032,9.0,0.0,0.0
5,10.0,72.0,3.0,179.93115891616438,3.0,3.0,1.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,72.0,0.241652712,0.06410037011232878,0.3232869528493151,1555.1925102739729,1541.794684931507,11624.858441095888,72.0,3.7699112899999996,10.0,0.0,0.0
6,11.0,72.0,3.0,179.93115891616438,3.0,3.0,1.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,72.0,0.21237141167123288,0.06196658755068494,0.2869555600821918,1670.3058901369861,1803.4702335616437,13597.845878082193,72.0,3.4271919699999995,11.0,0.0,0.0
7,12.0,72.0,3.0,179.93115891616438,3.0,3.0,1.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,72.0,0.18796717073972602,0.05983180665205479,0.2553518701780822,1768.876681780822,2072.3381698630137,15625.061823287673,72.0,3.14159274,12.0,0.0,0.0
8,13.0,72.0,3.0,179.93115891616438,3.0,3.0,1.0,13.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,72.0,0.16745687383561647,0.05774510295205479,0.22803560393150682,1853.8959153424657,2347.296042739726,17698.19646438356,72.0,2.8999316700000004,13.0,0.0,0.0
9,14.0,72.0,3.0,179.93115891616438,3.0,3.0,1.0,14.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,72.0,0.15009011505479453,0.05573769726301369,0.20451084149315069,1928.2723730136988,2627.6714228767123,19812.176060273974,72.0,2.6927936099999994,14.0,0.0,0.0
10,15.0,72.0,3.0,179.93115891616438,3.0,3.0,1.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,72.0,0.1354133926027397,0.053879276206849326,0.18423421741095888,1994.1086813698628,2915.8843028767124,21985.250189041097,72.0,2.51327419,15.0,0.0,0.0
11,16.0,72.0,3.0,179.93115891616438,3.0,3.0,1.0,16.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,72.0,0.12325454547945204,0.05231085445342465,0.16692479421917805,2055.686112328767,3221.0522664383566,24286.162236986307,72.0,2.3561945000000004,16.0,0.0,0.0
12,17.0,72.0,3.0,179.93115891616438,3.0,3.0,1.0,17.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,72.0,0.1129482148219178,0.05093275329315068,0.15196487546575346,2112.6963231506847,3540.4706668493145,26694.521228767124,72.0,2.2175948599999997,17.0,0.0,0.0
13,18.0,72.0,3.0,179.93115891616438,3.0,3.0,1.0,18.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,72.0,0.10411487894520549,0.04971118868904109,0.13916140758904108,2169.001453424657,3874.049675205479,29209.647399999998,72.0,2.09439516,18.0,0.0,0.0
14,19.0,72.0,3.0,179.93115891616438,3.0,3.0,1.0,19.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,72.0,0.09670504333561643,0.04873843474794521,0.12817811178082192,2225.9586084931507,4231.991726849315,31908.467013698628,72.0,1.9841637599999997,19.0,0.0,0.0
15,20.0,72.0,3.0,179.93115891616438,3.0,3.0,1.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,72.0,0.09040139860410962,0.04795942950684932,0.11917200709589038,2293.1381834246577,4614.238092054793,34790.53759452055,72.0,1.8849556399999998,20.0,0.0,0.0
16,21.0,72.0,3.0,179.93115891616438,3.0,3.0,1.0,21.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,72.0,0.0851320118109589,0.04742213045068493,0.1118673395890411,2373.219505479452,5030.204690684931,37926.85240136986,72.0,1.79519582,21.0,0.0,0.0
17,22.0,72.0,3.0,179.93115891616438,3.0,3.0,1.0,22.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,72.0,0.08079640330273971,0.047150204938356165,0.10585860261643834,2464.719739863014,5489.021996849316,41386.25133561644,72.0,1.71359599,22.0,0.0,0.0
18,23.0,72.0,3.0,179.93115891616438,3.0,3.0,1.0,23.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,72.0,0.0772857436260274,0.047151565253424656,0.10073428654794522,2563.474340958904,5999.53755958904,45235.44887945206,72.0,1.63909185,23.0,0.0,0.0
19,24.0,72.0,3.0,179.93115891616438,3.0,3.0,1.0,24.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,72.0,0.07391802928356164,0.047057674387671236,0.09509079149726027,2634.856446575342,6519.570397671234,49156.40300410959,72.0,1.57079637,24.0,0.0,0.0
20,25.0,72.0,3.0,179.93115891616438,3.0,3.0,1.0,25.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,72.0,0.0708761144041096,0.04700118031780822,0.09005431789452055,2707.575426849315,7065.693494246573,53274.07526849316,72.0,1.50796449,25.0,0.0,0.0
