U_wind_ms,Omega_rpm,pitch_deg,T_N,Q_Nm,P_W,CP,CT,CQ
5.0,72.0,3.0,686.7240116571472,300.5049306627904,2265.7537980905577,0.3724632827838911,0.5644467637302426,0.04911461239418931
6.0,72.0,3.0,961.8293340033614,524.0353833348937,3951.1337052144313,0.37587958458147974,0.5490049754980553,0.05947812079287203
7.0,72.0,3.0,1192.5199000396135,780.5907864354231,5885.51587230097,0.35259096399463874,0.5000924730857288,0.06509182800838184
8.0,72.0,3.0,1366.8688175409723,1044.036971294348,7871.853309826707,0.31592776459851774,0.4388616434059491,0.06665535281477668
9.0,72.0,3.0,1518.9294258754942,1316.117416097737,9923.291533618156,0.2797106389182549,0.3853304590212081,0.0663909288415677
10.0,72.0,3.0,1660.9964932781616,1595.5556873988469,12030.206462221511,0.24720306081265123,0.34131036605802306,0.06519452024222817
11.0,72.0,3.0,1784.0333314713694,1868.3103919292196,14086.728484584728,0.21747675860113105,0.3029691139772324,0.06309032818464598
12.0,72.0,3.0,1889.1804322334385,2147.646567879031,16192.87363237463,0.19255772735824975,0.2695825081027575,0.060939578722622685
13.0,72.0,3.0,1981.4742138571783,2435.0452366797285,18359.80854410845,0.17171919906796362,0.24092534157309234,0.05887344595029144
14.0,72.0,3.0,2062.2540446559738,2728.7114159417697,20573.999371414237,0.15406904061147259,0.21620555876861977,0.05688538004082748
15.0,72.0,3.0,2133.7021332358627,3031.9052303389312,22860.026875231815,0.1391822081897138,0.19486418988726065,0.055059495982894786
16.0,72.0,3.0,2198.430521717703,3348.388863841357,25246.25725441411,0.1266536815559916,0.17646295300863954,0.05344351953449427
17.0,72.0,3.0,2260.4039264612165,3683.9844159469085,27776.58810498742,0.11617505791873574,0.16071964826726523,0.05208576762110071
18.0,72.0,3.0,2322.014687174684,4036.593371843443,30435.19699803027,0.10723569353325796,0.14726539792118515,0.0509060172053259
19.0,72.0,3.0,2386.445734315979,4413.4587840625345,33276.695263037276,0.09969196349328045,0.1358392028934235,0.04995408410442017
20.0,72.0,3.0,2452.8214777599333,4803.545523641529,36217.87998781527,0.09302802509301138,0.1260046905332366,0.049068303969078145
21.0,72.0,3.0,2520.741299876684,5206.889544698468,39259.022260027705,0.0871088656268266,0.11745471367189118,0.04824351056942733
22.0,72.0,3.0,2589.709007599586,5623.113603004823,42397.277725201886,0.08181834539579982,0.10994775569078206,0.04747124516429944
23.0,72.0,3.0,2658.9754254730187,6051.1068986621,45624.27114941609,0.07705364622423087,0.1032855138637477,0.04673887778158871
24.0,72.0,3.0,2727.2941444605617,6488.983055308399,48925.77958998124,0.07272517791593382,0.09729494113598688,0.046031304643302504
25.0,72.0,3.0,2797.586880744243,6953.16233447477,52425.60890208767,0.06894522930098346,0.09197807761401801,0.045457074160932004
