U_wind_ms,Omega_rpm,pitch_deg,r_m,chord_m,twist_deg,a,ap,alpha_deg,cl,cd,W_ms,Np_per_m,Tp_per_m
5.0,72.0,3.0,1.257,0.737,22.0,0.09360605073721412,0.017548036440287046,-0.4706968132015622,0.09930831919588477,0.007694317204076377,10.916237805328443,5.031725937853617,1.8412436545648636
5.0,72.0,3.0,1.343,0.728,18.3,0.156250573761942,0.028540605769912433,0.7511563172389893,0.24029206142828494,0.0073444276129549175,11.236979132576096,12.694888030461415,4.696102455452143
5.0,72.0,3.0,1.51,0.711,14.29,0.17289769452299508,0.02534440120321356,2.217170536223722,0.41370641843789585,0.007576412167950722,12.384558392630415,26.21590100559208,8.750355116187478
5.0,72.0,3.0,1.648,0.697,11.91,0.1834177780921591,0.02243759956032291,2.9062106927722424,0.4986498864181705,0.00789072334817966,13.344387095426804,36.273660155318325,11.027438949380306
5.0,72.0,3.0,1.952,0.666,8.42,0.19884941301821793,0.017049991527497733,3.5618196728237694,0.5818296049452935,0.008295136860136162,15.49539134204777,55.2606164986644,13.947183127899057
5.0,72.0,3.0,2.257,0.636,6.16,0.2130653069474796,0.01336343332105617,3.692919773074535,0.5984651975615026,0.008389019293303377,17.68797407734841,71.33865289278795,15.22835120772789
5.0,72.0,3.0,2.343,0.627,5.66,0.21674854948710673,0.012532639121610515,3.6895769165840377,0.5980419905634055,0.008386567799988838,18.310901134890912,75.45514149935167,15.41482401920334
5.0,72.0,3.0,2.562,0.605,4.66,0.22274796486955228,0.010629373162404305,3.598533562341984,0.5864953001228106,0.008320964060411072,19.90540820998468,84.69428226716805,15.61414602576229
5.0,72.0,3.0,2.867,0.574,3.42,0.23492192644822074,0.008732743279769957,3.5303053760044225,0.577821385454189,0.008273251453726526,22.138450275797673,98.3135215782147,15.800076707629701
5.0,72.0,3.0,3.172,0.543,2.49,0.24341426453963289,0.007236456229692194,3.4346797715138213,0.5656462321073563,0.00820842692882317,24.38460711018307,110.75947360674704,15.750164216003922
5.0,72.0,3.0,3.476,0.512,1.83,0.24685735951452692,0.006016091021143008,3.2982458028156967,0.5482666571249238,0.008119968579063734,26.63365448817157,120.99352674878867,15.456150315418956
5.0,72.0,3.0,3.781,0.482,1.4,0.24584797040098066,0.005005179321172565,3.097673574878042,0.522784733826149,0.007998200999346478,28.897828165279375,128.04154866500383,14.86283717448448
5.0,72.0,3.0,4.086,0.451,1.13,0.24332377309796757,0.004188914244468677,2.842309445724249,0.490649277379005,0.00785672406512369,31.16724893004924,130.9413479962809,13.889391106483519
5.0,72.0,3.0,4.391,0.42,0.96,0.24596011935969164,0.003572619083822111,2.513809572777427,0.449931060341764,0.007697285799407158,33.438862980107146,128.84526842812159,12.392103739781696
5.0,72.0,3.0,4.696,0.389,0.85,0.26869370155746986,0.0031705477404194455,2.027610516296982,0.39080104183398556,0.007511256046559761,35.70698027464025,118.32784658190533,9.887419712227917
5.0,72.0,3.0,5.0,0.358,0.79,0.4473194296170165,0.0022349014137763483,0.39305532826240097,0.19884446801015468,0.00739127057558521,37.88428585200263,62.58085036694744,2.2447407071886225
6.0,72.0,3.0,1.257,0.737,22.0,0.17981412763367435,0.04888373523970588,0.6747464584247391,0.23143025383231489,0.007350744915921526,11.358292507226142,12.332606623615666,5.453607590935888
6.0,72.0,3.0,1.343,0.728,18.3,0.22387362253928705,0.05498201307127783,2.2530947514190722,0.41806789546958767,0.007589839316257428,11.653586621621338,23.39103777165459,9.695117501564553
6.0,72.0,3.0,1.51,0.711,14.29,0.220980417296817,0.04401316017413852,4.176642837642104,0.6587386899820903,0.008777180749073242,12.772226755509013,43.77932950177513,16.545682267432827
6.0,72.0,3.0,1.648,0.697,11.91,0.21951061313467254,0.03699940563352954,5.062690426404843,0.7592454585715378,0.00967908203213537,13.709945416447605,57.525595056676615,20.080171416072204
6.0,72.0,3.0,1.952,0.666,8.42,0.21443028109519188,0.02604799799456261,5.914404078952008,0.8354283009326683,0.010815783409970945,15.819594054878563,81.74192143622268,24.356941570421053
6.0,72.0,3.0,2.257,0.636,6.16,0.21724187835494996,0.019667226285749843,5.984935540646423,0.840798022232418,0.010923092063601925,17.97642026948177,102.52591481452201,26.32537956531416
6.0,72.0,3.0,2.343,0.627,5.66,0.21882009165134525,0.01833797059779887,5.943275605999206,0.8376420186537602,0.010859453847194687,18.59032370541606,107.94656922718103,26.635145476603725
6.0,72.0,3.0,2.562,0.605,4.66,0.2221543950192544,0.015483495377584443,5.72301322053666,0.8201862761177868,0.010535122736984372,20.163673750379548,120.58184731559844,27.05733518001152
6.0,72.0,3.0,2.867,0.574,3.42,0.23011854127802472,0.012629405826810597,5.496064733304881,0.8007650673881432,0.010221735189539128,22.37176262931324,138.23911726418092,27.33378760169577
6.0,72.0,3.0,3.172,0.543,2.49,0.2361267230663245,0.010455256740225998,5.248812453707417,0.7778135318438425,0.00990341096071687,24.597142468656852,154.14338741278058,27.205549555760307
6.0,72.0,3.0,3.476,0.512,1.83,0.2389834935254626,0.008731554979061317,4.9691389012860245,0.7495176764216918,0.009571132131691971,26.828681046202906,167.08233407789652,26.66513905546157
